No_Shot,Machine_Cycle_Time,Cycle_Time,Barrel_Temp_Z1,Barrel_Temp_Z2,Barrel_Temp_Z3,Barrel_Temp_Z4,Hopper_Temp,Injection_Pressure_Real_Time,Screw_Position,Injection_Peak_Press,Max_Injection_Rate,Screw_Velocity,VP_Time,VP_Position,Weighing_Start_Position,VP_Press,Plasticizing_Time,Plasticizing_Start_Position,Plasticizing_End_Position,Plasticizing_RPM,Minimum_Cushion,Cooling_Time,Back_Flow,Decompression_Time,_ID
168,16.66,16.68,210,199.9,194.9,189.9,40.1,1.36,6.52,1261.29,78.17,47.93,2,8.1,11.03,1191.08,4.85,11.02,63.11,28.27,6.52,8,49.03,0.32,168
169,16.64,16.68,209.9,199.9,194.8,190,40.2,1.34,6.51,1251.44,78.15,46.73,2,8.12,11.03,1201.55,4.81,11.02,63.11,28.27,6.51,8,49.03,0.32,169
170,16.64,16.66,210.1,199.9,194.9,189.9,40.2,1.35,6.61,1245.33,78.16,46.05,2,8.11,11.08,1213.28,4.8,11.07,63.11,28.27,6.61,8,49.03,0.32,170
171,16.64,16.66,210,199.9,194.8,189.9,40.1,1.35,6.5,1266.78,78.24,47.95,2,8.13,10.95,1184.84,4.8,10.95,63.11,28.27,6.5,8,49.03,0.32,171
172,16.66,16.66,210.1,199.9,194.8,189.9,40.2,1.36,6.49,1287.85,78.19,48.46,2,8.14,10.99,1155.91,4.84,10.98,63.12,28.27,6.49,8,49.03,0.32,172
173,16.66,16.68,210.1,200,194.8,190,40.2,1.36,6.51,1262.91,78.14,48.62,2,8.12,11.03,1176.49,4.83,11.01,63.11,28.27,6.51,8,49.03,0.33,173
174,16.66,16.66,210.1,200.1,194.9,190,40.2,1.35,6.46,1246.57,78.25,48.27,2,8.11,10.93,1191.2,4.81,10.92,63.11,28.27,6.46,8,49.03,0.32,174
175,16.64,16.68,210,200.1,195,190.1,40.1,1.35,6.54,1254.06,78.13,48.21,2,8.1,11.01,1188.08,4.78,10.99,63.11,28.27,6.54,8,49.03,0.33,175
176,16.64,16.66,210,200.1,195.1,190,40.1,1.34,6.58,1245.83,78.14,45.76,2,8.14,11.06,1215.4,4.83,11.04,63.12,28.27,6.58,8,49.03,0.32,176
177,16.64,16.64,209.9,200.1,195.3,190.3,40.1,1.34,6.52,1264.78,78.22,46.77,2,8.13,11.03,1186.71,4.79,11.02,63.11,28.27,6.52,8,49.03,0.32,177
